accession,definition,organism,taxid,length
WP_019868626.1,glycerol kinase,Salinispora pacifica,351187,505
WP_019872340.1,glycerol kinase,Salinispora pacifica,351187,505
WP_011904413.1,glycerol kinase,Salinispora tropica,168695,505
WP_012013690.1,glycerol kinase,Salinispora tropica,168695,505
WP_018830846.1,glycerol kinase,Salinispora tropica,168695,505
WP_000136809.1,glycerol kinase,Salmonella,590,502
WP_000136773.1,glycerol kinase,Salmonella bongori,54736,502
WP_000136806.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136807.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136808.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136811.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136812.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136813.1,glycerol kinase,Salmonella enterica,28901,502
WP_000136814.1,glycerol kinase,Salmonella enterica,28901,502
WP_000137244.1,glycerol kinase,Salmonella enterica,28901,501
WP_001523753.1,glycerol kinase,Salmonella enterica,28901,502
WP_001742382.1,glycerol kinase,Salmonella enterica,28901,502
WP_002954872.1,glycerol kinase,Salmonella enterica,28901,502
WP_006894356.1,glycerol kinase,Salmonella enterica,28901,502
WP_015406195.1,glycerol kinase,Salmonella enterica,28901,502
WP_016506502.1,glycerol kinase,Salmonella enterica,28901,502
WP_018921969.1,glycerol kinase,Salsuginibacillus kocurii,427078,504
WP_012865709.1,glycerol kinase,Sanguibacter keddieii,60920,505
WP_002660634.1,glycerol kinase,Saprospira grandis,1008,494
WP_014373054.1,glycerol kinase,Saprospira grandis,1008,494
WP_010586361.1,glycerol kinase,Schlesneria paludicola,360056,517
WP_020498501.1,glycerol kinase,Sciscionella marina,508770,501
WP_012861508.1,glycerol kinase,Sebaldella termitidis,826,507
WP_020610791.1,glycerol kinase,Sediminispirochaeta bajacaliforniensis,148,500
WP_020612403.1,glycerol kinase,Sediminispirochaeta bajacaliforniensis,148,505
WP_013254236.1,glycerol kinase,Sediminispirochaeta smaragdinae,55206,505
WP_013256088.1,glycerol kinase,Sediminispirochaeta smaragdinae,55206,500
WP_018611531.1,glycerol kinase,Segetibacter koreensis,398037,495
WP_013139863.1,glycerol kinase,Segniliparus rotundus,286802,505
WP_007472293.1,glycerol kinase,Segniliparus rugosus,286804,505
WP_019543019.1,glycerol kinase,Selenomonas bovis,416586,495
WP_019543021.1,glycerol kinase,Selenomonas bovis,416586,502
WP_014423378.1,glycerol kinase,Selenomonas ruminantium,971,500
WP_014425754.1,glycerol kinase,Selenomonas ruminantium,971,498
WP_009646737.1,glycerol kinase,Selenomonas sp. CM52,936381,500
WP_009646751.1,glycerol kinase,Selenomonas sp. CM52,936381,498
WP_006190655.1,glycerol kinase,Selenomonas sputigena,69823,498
WP_006190657.1,glycerol kinase,Selenomonas sputigena,69823,500
WP_010147644.1,glycerol kinase,Serinicoccus profundi,1078471,513
WP_004931097.1,glycerol kinase,Serratia,613,502
WP_006328848.1,glycerol kinase,Serratia,613,502
WP_013814998.1,glycerol kinase,Serratia,613,502
WP_015962324.1,glycerol kinase,Serratia marcescens,615,502
WP_004956511.1,glycerol kinase,Serratia odorifera,618,502
WP_006317748.1,glycerol kinase,Serratia plymuthica,82996,502
WP_012147472.1,glycerol kinase,Serratia proteamaculans,28151,502
WP_009637725.1,glycerol kinase,Serratia sp. M24T3,932213,506
WP_017894417.1,glycerol kinase,Serratia sp. S4,768491,502
WP_011787773.1,glycerol kinase,Shewanella,22,494
WP_011758462.1,glycerol kinase,Shewanella amazonensis,60478,495
WP_006079883.1,glycerol kinase,Shewanella baltica,62322,494
WP_006086693.1,glycerol kinase,Shewanella baltica,62322,494
WP_011845612.1,glycerol kinase,Shewanella baltica,62322,494
WP_011982221.1,glycerol kinase,Shewanella baltica,62322,494
WP_012586603.1,glycerol kinase,Shewanella baltica,62322,494
WP_005501846.1,glycerol kinase,Shewanella benthica,43661,497
WP_011494804.1,glycerol kinase,Shewanella denitrificans,192073,497
WP_012275573.1,glycerol kinase,Shewanella halifaxensis,271098,493
WP_011867262.1,glycerol kinase,Shewanella loihica,359303,498
WP_011073911.1,glycerol kinase,Shewanella oneidensis,70863,494
WP_012157014.1,glycerol kinase,Shewanella pealeana,70864,493
WP_020912330.1,glycerol kinase,Shewanella piezotolerans,404011,493
WP_012140749.1,glycerol kinase,Shewanella sediminis,271097,495
WP_011718505.1,glycerol kinase,Shewanella sp. ANA-3,94122,494
WP_011624310.1,glycerol kinase,Shewanella sp. MR-4,60480,494
WP_011624916.1,glycerol kinase,Shewanella sp. MR-7,60481,494
WP_013053306.1,glycerol kinase,Shewanella violacea,60217,497
WP_012327120.1,glycerol kinase,Shewanella woodyi,60961,495
WP_000136795.1,glycerol kinase,Shigella,620,502
WP_000136796.1,glycerol kinase,Shigella,620,502
WP_000818511.1,glycerol kinase,Shigella,620,502
WP_000136772.1,glycerol kinase,Shigella dysenteriae,622,502
WP_000136815.1,glycerol kinase,Shigella dysenteriae,622,502
WP_000136789.1,glycerol kinase,Shigella sonnei,624,503
WP_002442664.1,glycerol kinase,Shimwellia blattae,563,503
WP_006906633.1,glycerol kinase,Shuttleworthia satelles,177972,504
WP_013943698.1,glycerol kinase,Simkania negevensis,83561,494
WP_002642017.1,glycerol kinase,Simonsiella muelleri,72,495
WP_018163373.1,glycerol kinase,Smaragdicoccus niigatensis,359359,501
WP_011411984.1,glycerol kinase,Sodalis glossinidius,63612,504
WP_008403958.1,glycerol kinase,Solibacillus,648800,497
WP_008404243.1,glycerol kinase,Solibacillus,648800,496
WP_014823477.1,glycerol kinase,Solibacillus silvestris,76853,496
WP_014679075.1,glycerol kinase,Solitalea canadensis,995,496
WP_014681438.1,glycerol kinase,Solitalea canadensis,995,499
WP_006526425.1,glycerol kinase,Solobacterium moorei,102148,499
WP_012873556.1,glycerol kinase,Sphaerobacter thermophilus,2057,498
WP_013740153.1,glycerol kinase,Sphaerochaeta coccoides,273376,499
WP_013607962.1,glycerol kinase,Sphaerochaeta globosa,1131703,504
WP_014271101.1,glycerol kinase,Sphaerochaeta pleomorpha,1131707,506
WP_013666175.1,glycerol kinase,Sphingobacterium sp. 21,743722,504
WP_002995749.1,glycerol kinase,Sphingobacterium spiritivorum,258,499
WP_003002987.1,glycerol kinase,Sphingobacterium spiritivorum,258,499
WP_016743904.1,glycerol kinase,Sphingomonas,13687,509
WP_012050398.1,glycerol kinase,Sphingomonas wittichii,160791,509
WP_014454430.1,glycerol kinase,Spirochaeta africana,46355,501
WP_016339290.1,glycerol kinase,Spiroplasma chrysopicola,216933,503
WP_004027691.1,glycerol kinase,Spiroplasma melliferum,2134,503
WP_016341161.1,glycerol kinase,Spiroplasma syrphidicola,216945,503
WP_018620200.1,glycerol kinase,Spirosoma luteum,431553,504
WP_020597403.1,glycerol kinase,Spirosoma panaciterrae,496058,499
WP_020605203.1,glycerol kinase,Spirosoma spitsbergense,431554,500
WP_010026546.1,glycerol kinase,Sporolactobacillus inulinus,2078,496
WP_010630696.1,glycerol kinase,Sporolactobacillus vineae,444463,509
WP_009766190.1,glycerol kinase,Sporosarcina newyorkensis,759851,497
WP_013017186.1,glycerol kinase,Stackebrandtia nassauensis,283811,497
WP_000417369.1,glycerol kinase,Staphylococcus,1279,498
WP_000417372.1,glycerol kinase,Staphylococcus,1279,498
WP_000417374.1,glycerol kinase,Staphylococcus,1279,498
WP_000417376.1,glycerol kinase,Staphylococcus,1279,498
WP_000417378.1,glycerol kinase,Staphylococcus,1279,498
WP_000417379.1,glycerol kinase,Staphylococcus,1279,498
WP_000417383.1,glycerol kinase,Staphylococcus,1279,498
WP_000417385.1,glycerol kinase,Staphylococcus,1279,498
WP_000417386.1,glycerol kinase,Staphylococcus,1279,498
WP_001829522.1,glycerol kinase,Staphylococcus,1279,499
WP_002433942.1,glycerol kinase,Staphylococcus,1279,499
WP_002439580.1,glycerol kinase,Staphylococcus,1279,499
WP_002442632.1,glycerol kinase,Staphylococcus,1279,499
WP_002446325.1,glycerol kinase,Staphylococcus,1279,499
WP_002448786.1,glycerol kinase,Staphylococcus,1279,499
WP_002453130.1,glycerol kinase,Staphylococcus,1279,499
WP_002459243.1,glycerol kinase,Staphylococcus,1279,499
WP_002465648.1,glycerol kinase,Staphylococcus,1279,499
WP_002478262.1,glycerol kinase,Staphylococcus,1279,499
WP_002480754.1,glycerol kinase,Staphylococcus,1279,499
WP_002489950.1,glycerol kinase,Staphylococcus,1279,499
WP_002491397.1,glycerol kinase,Staphylococcus,1279,499
WP_002492109.1,glycerol kinase,Staphylococcus,1279,499
WP_002501856.1,glycerol kinase,Staphylococcus,1279,499
WP_002507805.1,glycerol kinase,Staphylococcus,1279,500
WP_011275899.1,glycerol kinase,Staphylococcus,1279,499
WP_011303228.1,glycerol kinase,Staphylococcus,1279,500
WP_017174636.1,glycerol kinase,Staphylococcus,1279,499
WP_017638335.1,glycerol kinase,Staphylococcus,1279,499
WP_019468728.1,glycerol kinase,Staphylococcus,1279,500
WP_020368070.1,glycerol kinase,Staphylococcus,1279,499
WP_002511027.1,glycerol kinase,Staphylococcus arlettae,29378,500
WP_000417368.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417370.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417371.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417373.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417375.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417377.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417380.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417381.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417382.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417384.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_000417387.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_001566609.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_001573163.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_002955249.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_017431831.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_017466566.1,glycerol kinase,Staphylococcus aureus,1280,498
WP_015900198.1,glycerol kinase,Staphylococcus carnosus,1281,501
WP_019165429.1,glycerol kinase,Staphylococcus delphini,53344,500
WP_002473610.1,glycerol kinase,Staphylococcus epidermidis,1282,499
WP_002476673.1,glycerol kinase,Staphylococcus epidermidis,1282,499
WP_002487415.1,glycerol kinase,Staphylococcus epidermidis,1282,499
WP_020361212.1,glycerol kinase,Staphylococcus epidermidis,1282,499
WP_019167783.1,glycerol kinase,Staphylococcus intermedius,1285,500
WP_017000462.1,glycerol kinase,Staphylococcus lentus,42858,497
WP_009381796.1,glycerol kinase,Staphylococcus massiliensis,555791,500
WP_017176556.1,glycerol kinase,Staphylococcus massiliensis,555791,500
WP_002472463.1,glycerol kinase,Staphylococcus pettenkoferi,170573,499
WP_014614030.1,glycerol kinase,Staphylococcus pseudintermedius,283734,500
WP_002483418.1,glycerol kinase,Staphylococcus saprophyticus,29385,500
WP_002463875.1,glycerol kinase,Staphylococcus simiae,308354,498
WP_016424957.1,glycerol kinase,Staphylococcus sp. HGB0015,1078083,500
WP_002451261.1,glycerol kinase,Staphylococcus warneri,1292,499
WP_017724341.1,glycerol kinase,Staphylococcus xylosus,1288,500
WP_013142878.1,glycerol kinase,Staphylothermus hellenicus,84599,524
WP_011838568.1,glycerol kinase,Staphylothermus marinus,2280,524
WP_008268321.1,glycerol kinase,Stenotrophomonas,40323,499
WP_005411142.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_005414549.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_005419537.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_006394869.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_012481326.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_012512176.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_014038576.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_014648505.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_017354788.1,glycerol kinase,Stenotrophomonas maltophilia,40324,502
WP_019183621.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_019338865.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_019660739.1,glycerol kinase,Stenotrophomonas maltophilia,40324,499
WP_000076784.1,glycerol kinase,Streptococcus,1301,502
WP_000076786.1,glycerol kinase,Streptococcus,1301,502
WP_000076793.1,glycerol kinase,Streptococcus,1301,502
WP_000076794.1,glycerol kinase,Streptococcus,1301,502
WP_000076795.1,glycerol kinase,Streptococcus,1301,502
WP_000076796.1,glycerol kinase,Streptococcus,1301,502
WP_000076797.1,glycerol kinase,Streptococcus,1301,502
WP_000076801.1,glycerol kinase,Streptococcus,1301,502
WP_000076803.1,glycerol kinase,Streptococcus,1301,502
WP_000093527.1,glycerol kinase,Streptococcus,1301,502
WP_000093530.1,glycerol kinase,Streptococcus,1301,502
WP_002896985.1,glycerol kinase,Streptococcus,1301,502
WP_002905838.1,glycerol kinase,Streptococcus,1301,502
WP_002918403.1,glycerol kinase,Streptococcus,1301,502
WP_003028700.1,glycerol kinase,Streptococcus,1301,503
WP_000093523.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_000093524.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_000093525.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_000093528.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_016480281.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_017643106.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_017645182.1,glycerol kinase,Streptococcus agalactiae,1311,502
WP_017770657.1,glycerol kinase,Streptococcus agalactiae,1311,503
WP_003026483.1,glycerol kinase,Streptococcus anginosus,1328,503
WP_003036512.1,glycerol kinase,Streptococcus anginosus,1328,503
WP_003041804.1,glycerol kinase,Streptococcus anginosus,1328,503
WP_003030589.1,glycerol kinase,Streptococcus anginosus group,671232,503
WP_006596161.1,glycerol kinase,Streptococcus australis,113107,502
WP_003044854.1,glycerol kinase,Streptococcus canis,1329,504
WP_006269260.1,glycerol kinase,Streptococcus constellatus,76860,503
WP_006269430.1,glycerol kinase,Streptococcus constellatus,76860,503
WP_005590120.1,glycerol kinase,Streptococcus cristatus,45634,502
WP_018366657.1,glycerol kinase,Streptococcus didelphis,102886,504
WP_003052247.1,glycerol kinase,Streptococcus dysgalactiae,1334,504
WP_012767458.1,glycerol kinase,Streptococcus dysgalactiae,1334,504
WP_014612528.1,glycerol kinase,Streptococcus dysgalactiae,1334,508
WP_015017320.1,glycerol kinase,Streptococcus dysgalactiae,1334,504
WP_012516190.1,glycerol kinase,Streptococcus equi,1336,501
WP_012677465.1,glycerol kinase,Streptococcus equi,1336,501
WP_012680024.1,glycerol kinase,Streptococcus equi,1336,501
WP_014623389.1,glycerol kinase,Streptococcus equi,1336,501
WP_018030971.1,glycerol kinase,Streptococcus ferus,1345,500
WP_018165238.1,glycerol kinase,Streptococcus henryi,439219,500
WP_008090081.1,glycerol kinase,Streptococcus ictaluri,380397,502
WP_003101849.1,glycerol kinase,Streptococcus iniae,1346,504
WP_003071024.1,glycerol kinase,Streptococcus intermedius,1338,503
WP_003074742.1,glycerol kinase,Streptococcus intermedius,1338,503
WP_003077583.1,glycerol kinase,Streptococcus intermedius,1338,503
WP_009567848.1,glycerol kinase,Streptococcus intermedius,1338,503
WP_018371570.1,glycerol kinase,Streptococcus massiliensis,313439,501
WP_018373010.1,glycerol kinase,Streptococcus merionis,400065,504
WP_018167381.1,glycerol kinase,Streptococcus minor,229549,504
WP_000076677.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076678.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076764.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076770.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076783.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076785.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076788.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076798.1,glycerol kinase,Streptococcus mitis,28037,502
WP_000076791.1,glycerol kinase,Streptococcus oralis,1303,502
WP_000076792.1,glycerol kinase,Streptococcus oralis,1303,502
WP_007520912.1,glycerol kinase,Streptococcus oralis,1303,502
WP_018378932.1,glycerol kinase,Streptococcus ovis,82806,499
WP_003006857.1,glycerol kinase,Streptococcus parasanguinis,1318,502
WP_003011680.1,glycerol kinase,Streptococcus parasanguinis,1318,502
WP_003017289.1,glycerol kinase,Streptococcus parasanguinis,1318,502
WP_013903464.1,glycerol kinase,Streptococcus parasanguinis,1318,502
WP_014713220.1,glycerol kinase,Streptococcus parasanguinis,1318,502
WP_003105149.1,glycerol kinase,Streptococcus parauberis,1348,503
WP_000076765.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076766.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076768.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076769.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076771.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076773.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076774.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076775.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076776.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076777.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076778.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076779.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076780.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076781.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076782.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076787.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076789.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076790.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_000076802.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_001844694.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_001863272.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_016397321.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_016398347.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_016399373.1,glycerol kinase,Streptococcus pneumoniae,1313,502
WP_003085288.1,glycerol kinase,Streptococcus porcinus,1340,503
WP_000076799.1,glycerol kinase,Streptococcus pseudopneumoniae,257758,502
WP_000076800.1,glycerol kinase,Streptococcus pseudopneumoniae,257758,502
WP_007894491.1,glycerol kinase,Streptococcus pseudoporcinus,361101,503
WP_002983556.1,glycerol kinase,Streptococcus pyogenes,1314,508
WP_011018084.1,glycerol kinase,Streptococcus pyogenes,1314,508
WP_011054909.1,glycerol kinase,Streptococcus pyogenes,1314,508
WP_011184847.1,glycerol kinase,Streptococcus pyogenes,1314,504
WP_011285068.1,glycerol kinase,Streptococcus pyogenes,1314,508
WP_011528882.1,glycerol kinase,Streptococcus pyogenes,1314,508
WP_014635637.1,glycerol kinase,Streptococcus pyogenes,1314,500
WP_003086704.1,glycerol kinase,Streptococcus ratti,1341,506
WP_002894531.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002899689.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002909032.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002913179.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002913232.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002914506.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002916886.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002920521.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002923454.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002931471.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_002932626.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_004190493.1,glycerol kinase,Streptococcus sanguinis,1305,502
WP_009659167.1,glycerol kinase,Streptococcus sp. AS14,936577,502
WP_009730830.1,glycerol kinase,Streptococcus sp. F0442,999425,502
WP_000076763.1,glycerol kinase,Streptococcus sp. SK643,1095727,501
WP_012775048.1,glycerol kinase,Streptococcus suis,1307,504
WP_014638061.1,glycerol kinase,Streptococcus suis,1307,504
WP_014735940.1,glycerol kinase,Streptococcus suis,1307,504
WP_014917235.1,glycerol kinase,Streptococcus suis,1307,504
WP_015646924.1,glycerol kinase,Streptococcus suis,1307,503
WP_018380568.1,glycerol kinase,Streptococcus thoraltensis,55085,503
WP_015911752.1,glycerol kinase,Streptococcus uberis,1349,500
WP_006739142.1,glycerol kinase,Streptococcus urinalis,149016,504
WP_003946639.1,glycerol kinase,Streptomyces,1883,505
WP_003947218.1,glycerol kinase,Streptomyces,1883,513
WP_003977165.1,glycerol kinase 2,Streptomyces,1883,512
WP_003978354.1,glycerol kinase,Streptomyces,1883,507
WP_006122734.1,glycerol kinase,Streptomyces,1883,505
WP_006123395.1,glycerol kinase,Streptomyces,1883,514
WP_006135543.1,glycerol kinase,Streptomyces,1883,505
WP_006141760.1,glycerol kinase,Streptomyces,1883,512
WP_006373302.1,glycerol kinase,Streptomyces,1883,516
WP_006380240.1,glycerol kinase,Streptomyces,1883,503
WP_007389658.1,glycerol kinase,Streptomyces,1883,507
WP_007455803.1,glycerol kinase,Streptomyces,1883,514
WP_007828963.1,glycerol kinase,Streptomyces,1883,516
WP_009187752.1,glycerol kinase,Streptomyces,1883,512
WP_009719172.1,glycerol kinase,Streptomyces,1883,515
WP_010057104.1,glycerol kinase,Streptomyces,1883,514
WP_014044407.1,glycerol kinase,Streptomyces,1883,505
WP_014045004.1,glycerol kinase,Streptomyces,1883,512
WP_014152467.1,glycerol kinase,Streptomyces,1883,505
WP_014157184.1,glycerol kinase,Streptomyces,1883,509
WP_014181673.1,glycerol kinase,Streptomyces,1883,505
WP_014671707.1,glycerol kinase,Streptomyces,1883,512
WP_015607527.1,glycerol kinase,Streptomyces,1883,514
WP_016467551.1,glycerol kinase,Streptomyces,1883,501
WP_016467862.1,glycerol kinase,Streptomyces,1883,514
WP_016573698.1,glycerol kinase,Streptomyces,1883,518
WP_017945418.1,glycerol kinase,Streptomyces,1883,509
WP_018087789.1,glycerol kinase,Streptomyces,1883,513
WP_018103728.1,glycerol kinase,Streptomyces,1883,513
WP_018469199.1,glycerol kinase,Streptomyces,1883,513
WP_018487904.1,glycerol kinase,Streptomyces,1883,514
WP_018570362.1,glycerol kinase,Streptomyces,1883,512
WP_018843697.1,glycerol kinase,Streptomyces,1883,509
WP_019059123.1,glycerol kinase,Streptomyces,1883,512
WP_019066099.1,glycerol kinase,Streptomyces,1883,512
WP_019066491.1,glycerol kinase,Streptomyces,1883,503
WP_019325243.1,glycerol kinase,Streptomyces,1883,512
WP_019330256.1,glycerol kinase,Streptomyces,1883,505
WP_019357401.1,glycerol kinase,Streptomyces,1883,501
WP_019434976.1,glycerol kinase,Streptomyces,1883,514
WP_019522713.1,glycerol kinase,Streptomyces,1883,512
WP_019525312.1,glycerol kinase,Streptomyces,1883,505
WP_020128308.1,glycerol kinase,Streptomyces,1883,512
WP_010350332.1,glycerol kinase,Streptomyces acidiscabies,42234,512
WP_010360556.1,glycerol kinase,Streptomyces acidiscabies,42234,500
WP_016639469.1,glycerol kinase,Streptomyces aurantiacus,47760,513
WP_016642953.1,glycerol kinase,Streptomyces aurantiacus,47760,514
WP_006607154.1,glycerol kinase,Streptomyces auratus,114687,512
WP_006607634.1,glycerol kinase,Streptomyces auratus,114687,520
WP_010988064.1,glycerol kinase 1,Streptomyces avermitilis,33903,512
WP_010988360.1,glycerol kinase 2,Streptomyces avermitilis,33903,507
WP_010988596.1,glycerol kinase 3,Streptomyces avermitilis,33903,505
WP_014181032.1,glycerol kinase,Streptomyces bingchenggensis,379067,508
WP_005485623.1,glycerol kinase,Streptomyces bottropensis,42235,506
WP_020114414.1,glycerol kinase,Streptomyces bottropensis,42235,512
WP_020117365.1,glycerol kinase,Streptomyces canus,58343,503
WP_020117737.1,glycerol kinase,Streptomyces canus,58343,513
WP_020118175.1,glycerol kinase,Streptomyces canus,58343,505
WP_014140879.1,glycerol kinase,Streptomyces cattleya,29303,504
WP_014145855.1,glycerol kinase,Streptomyces cattleya,29303,506
WP_010045379.1,glycerol kinase,Streptomyces chartreusis,1969,512
WP_010046273.1,glycerol kinase,Streptomyces chartreusis,1969,506
WP_003958475.1,glycerol kinase,Streptomyces clavuligerus,1901,513
WP_003959680.1,glycerol kinase,Streptomyces clavuligerus,1901,502
WP_011027172.1,glycerol kinase 1,Streptomyces coelicolor,1902,507
WP_015654981.1,glycerol kinase,Streptomyces davawensis,348043,504
WP_015661634.1,glycerol kinase,Streptomyces davawensis,348043,514
WP_015661901.1,glycerol kinase,Streptomyces davawensis,348043,503
WP_006135333.1,glycerol kinase,Streptomyces gancidicus,68204,512
WP_006136690.1,glycerol kinase,Streptomyces gancidicus,68204,503
WP_010062626.1,glycerol kinase,Streptomyces globisporus,1908,505
WP_006141498.1,glycerol kinase,Streptomyces griseoaurantiacus,68213,507
WP_004932569.1,glycerol kinase,Streptomyces griseoflavus,35619,505
WP_004933393.1,glycerol kinase,Streptomyces griseoflavus,35619,512
WP_012381570.1,glycerol kinase,Streptomyces griseus,1911,514
WP_012381931.1,glycerol kinase,Streptomyces griseus,1911,505
WP_009712805.1,glycerol kinase,Streptomyces himastatinicus,998084,505
WP_014670699.1,glycerol kinase,Streptomyces hygroscopicus,1912,504
WP_014671429.1,glycerol kinase,Streptomyces hygroscopicus,1912,506
WP_009323090.1,glycerol kinase,Streptomyces ipomoeae,103232,506
WP_009336900.1,glycerol kinase,Streptomyces ipomoeae,103232,512
WP_004946255.1,glycerol kinase,Streptomyces mobaraensis,35621,508
WP_005319501.1,glycerol kinase,Streptomyces pristinaespiralis,38300,508
WP_005320100.1,glycerol kinase,Streptomyces pristinaespiralis,38300,504
WP_005322127.1,glycerol kinase,Streptomyces pristinaespiralis,38300,504
WP_019059637.1,glycerol kinase,Streptomyces prunicolor,67348,503
WP_019884714.1,glycerol kinase,Streptomyces purpureus,1951,502
WP_019885008.1,glycerol kinase,Streptomyces purpureus,1951,511
WP_013004856.1,glycerol kinase,Streptomyces scabiei,1930,512
WP_020550365.1,glycerol kinase,Streptomyces scabrisporus,159449,508
WP_020551374.1,glycerol kinase,Streptomyces scabrisporus,159449,504
WP_010472231.1,glycerol kinase,Streptomyces somaliensis,78355,510
WP_020126505.1,glycerol kinase,Streptomyces sp. 303MFCol5.2,1172181,505
WP_020128949.1,glycerol kinase,Streptomyces sp. 303MFCol5.2,1172181,506
WP_020136946.1,glycerol kinase,Streptomyces sp. 351MFTsu5.1,1172180,505
WP_020138184.1,glycerol kinase,Streptomyces sp. 351MFTsu5.1,1172180,503
WP_020139265.1,glycerol kinase,Streptomyces sp. 351MFTsu5.1,1172180,513
WP_019356410.1,glycerol kinase,Streptomyces sp. AA1529,1203257,514
WP_009072696.1,glycerol kinase,Streptomyces sp. AA4,591158,502
WP_003970152.1,glycerol kinase,Streptomyces sp. ACT-1,1609288,514
WP_003970732.1,glycerol kinase,Streptomyces sp. ACT-1,1609288,505
WP_019983948.1,glycerol kinase,Streptomyces sp. Amel2xE9,1157634,506
WP_018556137.1,glycerol kinase,Streptomyces sp. ATexAB-D23,1157635,513
WP_018559049.1,glycerol kinase,Streptomyces sp. BoleA5,1157637,508
WP_018561120.1,glycerol kinase,Streptomyces sp. BoleA5,1157637,518
